route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCESN-413,000001,OCESN105330F600360:2021-12-08T20:44:38Z,105330,1,1,
OCESN-413,000002,OCESN105340F600461:2021-12-08T20:44:38Z,105340,1,2,
OCESN-413,000003,OCESN105342F502177:2021-12-09T20:47:39Z,105342,1,3,
OCESN-413,000004,OCESN105342F605852:2021-12-08T20:44:38Z,105342,1,4,
OCESN-413,000005,OCESN105345F603602:2021-12-08T20:44:38Z,105345,1,5,
OCESN-413,000003,OCESN105346F499488:2021-12-11T20:46:47Z,105346,1,6,
OCESN-413,000002,OCESN105347F603160:2021-12-08T20:44:38Z,105347,1,7,
OCESN-413,000006,OCESN105350F600286:2021-12-08T20:44:38Z,105350,1,8,
OCESN-413,000002,OCESN105362F608377:2021-12-08T20:44:38Z,105362,1,9,
OCESN-413,000005,OCESN105367F451133:2021-12-08T13:03:12Z,105367,1,10,
OCESN-413,000007,OCESN105375F429898:2021-12-08T20:44:38Z,105375,1,11,
OCESN-413,000003,OCESN105375F497056:2021-12-11T20:46:47Z,105375,1,12,
OCESN-413,000008,OCESN105377F600165:2021-12-08T20:44:38Z,105377,1,13,
OCESN-413,000005,OCESN105377F603931:2021-12-08T20:44:38Z,105377,1,14,
OCESN-413,000003,OCESN105378F495273:2021-12-11T20:46:47Z,105378,1,15,
OCESN-413,000002,OCESN105378F600373:2021-12-08T20:44:38Z,105378,1,16,
OCESN-413,000004,OCESN105378F601120:2021-12-08T20:44:38Z,105378,1,17,
OCESN-413,000009,OCESN105379F600579:2021-12-08T20:44:38Z,105379,1,18,
OCESN-413,000003,OCESN105390F500023:2021-12-08T20:44:38Z,105390,1,19,
OCESN-413,000003,OCESN105432F499269:2021-12-09T20:47:39Z,105432,1,20,
OCESN-413,000005,OCESN105432F599194:2021-12-08T20:44:38Z,105432,1,21,
OCESN-413,000002,OCESN105432F600336:2021-12-08T20:44:38Z,105432,1,22,
OCESN-413,000001,OCESN105432F600377:2021-12-08T20:44:38Z,105432,1,23,
OCESN-413,000003,OCESN105433F499693:2021-12-09T20:47:39Z,105433,1,24,
OCESN-413,000007,OCESN105437F600455:2021-12-08T20:44:38Z,105437,1,25,
OCESN-413,000010,OCESN105442F519453:2021-12-08T12:22:43Z,105442,1,26,
OCESN-413,000011,OCESN105442F599995:2021-12-08T20:44:38Z,105442,1,27,
OCESN-413,000004,OCESN105450F601961:2021-12-08T20:44:38Z,105450,1,28,
OCESN-413,000001,OCESN105476F600880:2021-12-08T20:44:38Z,105476,1,29,
OCESN-413,000004,OCESN105484F602693:2021-12-08T20:44:38Z,105484,1,30,
OCESN-413,000003,OCESN105485F499272:2021-12-11T20:46:47Z,105485,1,31,
OCESN-413,000002,OCESN105485F599153:2021-12-08T20:44:38Z,105485,1,32,
OCESN-413,000004,OCESN105485F599487:2021-12-08T20:44:38Z,105485,1,33,
OCESN-413,000003,OCESN105486F499422:2021-12-09T20:47:39Z,105486,1,34,
OCESN-413,000009,OCESN105494F599909:2021-12-08T20:44:38Z,105494,1,35,
OCESN-413,000001,OCESN105494F600335:2021-12-08T20:44:38Z,105494,1,36,
OCESN-413,000003,OCESN106330F499111:2021-12-11T20:46:47Z,106330,1,37,
OCESN-413,000007,OCESN106330F606122:2021-12-08T20:44:38Z,106330,1,38,
OCESN-413,000003,OCESN106331F502324:2021-12-09T20:47:39Z,106331,1,39,
OCESN-413,000004,OCESN106331F599217:2021-12-08T20:44:38Z,106331,1,40,
OCESN-413,000002,OCESN106331F600468:2021-12-08T20:44:38Z,106331,1,41,
OCESN-413,000005,OCESN106342F600395:2021-12-08T20:44:38Z,106342,0,42,
OCESN-413,000003,OCESN106345F110146:2021-12-11T20:46:47Z,106345,1,43,
OCESN-413,000012,OCESN106345F600639:2021-12-08T20:44:38Z,106345,1,44,
OCESN-413,000012,OCESN106347F600019:2021-12-08T20:44:38Z,106347,1,45,
OCESN-413,000001,OCESN106347F601024:2021-12-08T20:44:38Z,106347,1,46,
OCESN-413,000006,OCESN106350F599327:2021-12-08T20:44:38Z,106350,1,47,
OCESN-413,000003,OCESN106362F499604:2021-12-11T20:46:47Z,106362,0,48,
OCESN-413,000005,OCESN106367F554064:2021-12-08T13:03:12Z,106367,1,49,
OCESN-413,000003,OCESN106377F499985:2021-12-11T20:46:47Z,106377,1,50,
OCESN-413,000013,OCESN106377F601094:2021-12-08T20:44:38Z,106377,1,51,
OCESN-413,000003,OCESN106378F507099:2021-12-11T20:46:47Z,106378,1,52,
OCESN-413,000007,OCESN106378F597812:2021-12-08T20:44:38Z,106378,1,53,
OCESN-413,000014,OCESN106379F605056:2021-12-08T20:44:38Z,106379,1,54,
