full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away
Aaron Cresswell,31,Premier League,2018/2019,Defender,West Ham United,1589,888,701,England,20,11,9,0,0,0,1,1,0
Aaron Lennon,33,Premier League,2018/2019,Midfielder,Burnley,1217,487,730,England,16,7,9,1,1,0,1,1,0
Aaron Mooy,30,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,1190,1137,Australia,29,15,14,3,1,2,1,0,1
Aaron Ramsey,30,Premier League,2018/2019,Midfielder,Arsenal,1327,689,638,Wales,28,14,14,4,2,2,6,5,1
Aaron Rowe,20,Premier League,2018/2019,Forward,Huddersfield Town,69,14,55,England,2,1,1,0,0,0,0,0,0
Aaron Wan-Bissaka,23,Premier League,2018/2019,Midfielder,Crystal Palace,3135,1605,1530,England,35,18,17,0,0,0,3,1,2
Abdelhamid Sabiri,24,Premier League,2018/2019,Midfielder,Huddersfield Town,49,0,49,Morocco,2,0,2,0,0,0,0,0,0
Abdoulaye Doucouré,28,Premier League,2018/2019,Midfielder,Watford,3062,1566,1496,France,35,18,17,5,3,2,6,2,4
Aboubakar Kamara,26,Premier League,2018/2019,Forward,Fulham,687,468,219,France,13,8,5,3,1,2,0,0,0
Adalberto Peñaranda Maestre,23,Premier League,2018/2019,Forward,Watford,0,0,0,Venezuela,0,0,0,0,0,0,0,0,0
Adam David Lallana,32,Premier League,2018/2019,Midfielder,Liverpool,465,189,276,England,13,6,7,0,0,0,0,0,0
Adam Masina,27,Premier League,2018/2019,Defender,Watford,1003,463,540,Italy,14,7,7,0,0,0,1,1,0
Adam Smith,29,Premier League,2018/2019,Defender,AFC Bournemouth,2073,1051,1022,England,25,12,13,1,1,0,1,0,1
Adama Diakhaby,24,Premier League,2018/2019,Forward,Huddersfield Town,551,345,206,France,12,8,4,0,0,0,0,0,0
Adama Traoré Diarra,25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,315,575,Spain,29,12,17,1,0,1,1,1,0
Ademola Lookman,23,Premier League,2018/2019,Forward,Everton,601,334,267,England,21,11,10,0,0,0,2,2,0
Adrian Mariappa,34,Premier League,2018/2019,Defender,Watford,1921,841,1080,Jamaica,26,12,14,0,0,0,0,0,0
Adrián San Miguel del Castillo,34,Premier League,2018/2019,Goalkeeper,West Ham United,0,0,0,Spain,0,0,0,0,0,0,0,0,0
Adrien Sebastian Perruchet Silva,32,Premier League,2018/2019,Midfielder,Leicester City,88,8,80,Portugal,2,1,1,0,0,0,0,0,0
Ainsley Maitland-Niles,23,Premier League,2018/2019,Midfielder,Arsenal,985,462,523,England,16,7,9,1,0,1,1,0,1
Alberto Moreno,28,Premier League,2018/2019,Defender,Liverpool,155,90,65,Spain,2,1,1,0,0,0,0,0,0
Aleksandar Mitrović,26,Premier League,2018/2019,Forward,Fulham,3282,1616,1666,Serbia,37,18,19,11,8,3,3,2,1
Alex Iwobi,24,Premier League,2018/2019,Forward,Arsenal,1972,742,1230,Nigeria,35,18,17,3,1,2,6,3,3
Alex McCarthy,31,Premier League,2018/2019,Goalkeeper,Southampton,2250,1170,1080,England,25,13,12,0,0,0,0,0,0
Alex Oxlade-Chamberlain,27,Premier League,2018/2019,Midfielder,Liverpool,19,19,0,England,2,2,0,0,0,0,0,0,0
Alex Pritchard,27,Premier League,2018/2019,Midfielder,Huddersfield Town,2092,992,1100,England,30,14,16,2,1,1,0,0,0
Alex Smithies,31,Premier League,2018/2019,Goalkeeper,Cardiff City,0,0,0,England,0,0,0,0,0,0,0,0,0
Alexander Sørloth,25,Premier League,2018/2019,Forward,Crystal Palace,173,121,52,Norway,12,8,4,0,0,0,0,0,0
Alexandre Lacazette,29,Premier League,2018/2019,Forward,Arsenal,2503,1403,1100,France,35,19,16,13,9,4,8,4,4
Alexandre Nascimento Costa Silva,24,Premier League,2018/2019,Forward,West Ham United,17,0,17,Portugal,1,0,1,0,0,0,0,0,0
Alexis Sanchez,32,Premier League,2018/2019,Forward,Manchester United,877,387,490,Chile,20,10,10,1,1,0,3,0,3
Alfie Jones,23,Premier League,2018/2019,Defender,Southampton,0,0,0,England,0,0,0,0,0,0,0,0,0
Alfie Mawson,27,Premier League,2018/2019,Defender,Fulham,1131,547,584,England,15,8,7,0,0,0,0,0,0
Alfie Whiteman,22,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0
Ali Koiki,20,Premier League,2018/2019,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0
Alireza Jahanbakhsh,27,Premier League,2018/2019,Forward,Brighton & Hove Albion,1022,494,528,Iran,19,9,10,0,0,0,0,0,0
Alisson Becker,28,Premier League,2018/2019,Goalkeeper,Liverpool,3420,1710,1710,Brazil,38,19,19,0,0,0,0,0,0
Alvaro Morata,28,Premier League,2018/2019,Forward,Chelsea,943,530,413,Spain,16,8,8,5,3,2,0,0,0
Ander Herrera,31,Premier League,2018/2019,Midfielder,Manchester United,1404,617,787,Spain,22,10,12,2,0,2,3,3,0
André Filipe Tavares Gomes,27,Premier League,2018/2019,Midfielder,Everton,1986,972,1014,Portugal,27,13,14,1,1,0,1,1,0
Andre Gray,29,Premier League,2018/2019,Forward,Watford,1358,809,549,England,29,15,14,7,5,2,2,2,0
André Schürrle,30,Premier League,2018/2019,Midfielder,Fulham,1650,829,821,Germany,24,12,12,6,3,3,0,0,0
André-Frank Zambo Anguissa,25,Premier League,2018/2019,Midfielder,Fulham,1518,587,931,Cameroon,22,10,12,0,0,0,0,0,0
Andreas Christensen,24,Premier League,2018/2019,Defender,Chelsea,615,360,255,Denmark,8,4,4,0,0,0,0,0,0
Andreas Pereira,25,Premier League,2018/2019,Midfielder,Manchester United,595,521,74,Brazil,15,10,5,1,1,0,1,1,0
Andrew Robertson,27,Premier League,2018/2019,Defender,Liverpool,3219,1599,1620,Scotland,36,18,18,0,0,0,11,9,2
Andrew Surman,34,Premier League,2018/2019,Midfielder,AFC Bournemouth,1438,526,912,England,18,7,11,0,0,0,0,0,0
Andriy Yarmolenko,31,Premier League,2018/2019,Forward,West Ham United,459,269,190,Ukraine,9,5,4,2,0,2,0,0,0
